region,year,population,region_standard
Республика Мордовия,2018,886165.0,Республика Мордовия
Республика Татарстан (Татарстан),2018,3777667.0,Республика Татарстан
Удмуртская Республика,2018,1568176.0,Удмуртская Республика
Чувашская Республика - Чувашия,2018,1311737.0,Чувашская Республика
Пермский край,2018,2813770.0,Пермский край
Кировская область,2018,1498976.0,Кировская область
Нижегородская область,2018,3515673.0,Нижегородская область
Оренбургская область,2018,2176000.0,Оренбургская область
Пензенская область,2018,1449233.0,Пензенская область
Самарская область,2018,3235699.0,Самарская область
Саратовская область,2018,2663481.0,Саратовская область
Ульяновская область,2018,1378931.0,Ульяновская область
Уральский федеральный округ,2018,12361257.0,
Курганская область,2018,1016184.0,Курганская область
Свердловская область,2018,4477552.0,Свердловская область
Тюменская область,2018,3269862.0,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2018,1437729.0,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2018,508600.0,Ямало-Ненецкий автономный округ
Челябинская область,2018,3597659.0,Челябинская область
Сибирский федеральный округ,2018,20030930.0,
Республика Алтай,2018,203038.0,Республика Алтай
Республика Тыва,2018,305493.0,Республика Тыва
Республика Хакасия,2018,545198.0,Республика Хакасия
Алтайский край,2018,2602595.0,Алтайский край
Красноярский край,2018,2961871.0,Красноярский край
Иркутская область,2018,2577702.0,Иркутская область
Кемеровская область - Кузбасс,2018,2893448.0,Кемеровская область
Новосибирская область,2018,2688423.0,Новосибирская область
Омская область,2018,2075422.0,Омская область
Томская область,2018,1045539.0,Томская область
Дальневосточный федеральный округ,2018,6679743.0,
Республика Бурятия,2018,979605.0,Республика Бурятия
Забайкальский край,2018,1152596.0,Забайкальский край
Республика Саха (Якутия),2018,948636.0,Республика Саха (Якутия)
Камчатский край,2018,357917.0,Камчатский край
Приморский край,2018,2067342.0,Приморский край
Хабаровский край,2018,1434242.0,Хабаровский край
Амурская область,2018,901044.0,Амурская область
Магаданская область,2018,181832.0,Магаданская область
Сахалинская область,2018,545008.0,Сахалинская область
Еврейская автономная область,2018,190585.0,Еврейская автономная область
Чукотский автономный округ,2018,53137.0,Чукотский автономный округ
Раздел 1. Муниципальные образования субъектов Российской Федерации,2019,144333586.0,
Центральный федеральный округ,2019,37965073.0,
Белгородская область,2019,1513860.0,Белгородская область
Брянская область,2019,1360249.0,Брянская область
Владимирская область,2019,1509571.0,Владимирская область
Воронежская область,2019,2367457.0,Воронежская область
Ивановская область,2019,1131027.0,Ивановская область
Калужская область,2019,1031655.0,Калужская область
Костромская область,2019,723142.0,Костромская область
Курская область,2019,1213372.0,Курская область
Липецкая область,2019,1205271.0,Липецкая область
Московская область,2019,6671325.0,Московская область
Орловская область,2019,847051.0,Орловская область
Рязанская область,2019,1210325.0,Рязанская область
Смоленская область,2019,1039132.0,Смоленская область
Тамбовская область,2019,1161854.0,Тамбовская область
Тверская область,2019,1447825.0,Тверская область
Тульская область,2019,1649221.0,Тульская область
Ярославская область,2019,1347055.0,Ярославская область
Город Москва столица Российской Федерации город федерального значения,2019,10535681.0,Москва
Северо-Западный федеральный округ,2019,13860249.0,
