region,year,welfare_percent,region_standard
Ленинградская область,2020,16.7,Ленинградская область
Мурманская область,2020,22.8,Мурманская область
Новгородская область,2020,25.3,Новгородская область
Псковская область,2020,24.7,Псковская область
г. Санкт-Петербург,2020,19.8,Санкт-Петербург
Ненецкий автономный округ,2020,14.4,Ненецкий автономный округ
Республика Адыгея,2020,20.2,Республика Адыгея
Республика Калмыкия,2020,24.3,Республика Калмыкия
Республика Крым,2020,15.5,Республика Крым
Краснодарский край,2020,25.7,Краснодарский край
Астраханская область,2020,31.4,Астраханская область
Волгоградская область,2020,25.1,Волгоградская область
Ростовская область,2020,27.8,Ростовская область
г. Севастополь,2020,13.3,Севастополь
Республика Дагестан,2020,28.3,Республика Дагестан
Республика Ингушетия,2020,32.5,Республика Ингушетия
"Кабардино-Балкарская
Республика",2020,34.4,
"Карачаево-Черкесская
Республика",2020,26.5,
"Республика Северная
Осетия-Алания",2020,25.0,
Чеченская Республика,2020,35.1,Чеченская Республика
Ставропольский край,2020,30.8,Ставропольский край
Республика Башкортостан,2020,22.4,Республика Башкортостан
Республика Марий Эл,2020,22.4,Республика Марий Эл
Республика Мордовия,2020,22.5,Республика Мордовия
Республика Татарстан,2020,13.7,Республика Татарстан
Удмуртская Республика,2020,23.1,Удмуртская Республика
Чувашская Республика,2020,24.9,Чувашская Республика
Пермский край,2020,23.0,Пермский край
Кировская область,2020,27.6,Кировская область
Нижегородская область,2020,22.2,Нижегородская область
Оренбургская область,2020,26.6,Оренбургская область
Пензенская область,2020,22.4,Пензенская область
Самарская область,2020,23.4,Самарская область
Саратовская область,2020,27.7,Саратовская область
Ульяновская область,2020,25.3,Ульяновская область
Курганская область,2020,26.1,Курганская область
Свердловская область,2020,23.5,Свердловская область
Тюменская область,2020,21.9,Тюменская область
Челябинская область,2020,24.3,Челябинская область
"Ханты-Мансийский 
автономный округ - Югра",2020,15.8,
"Ямало-Ненецкий 
автономный округ",2020,12.6,
Республика Алтай,2020,19.8,Республика Алтай
Республика Тыва,2020,23.8,Республика Тыва
Республика Хакасия,2020,24.1,Республика Хакасия
Алтайский край,2020,29.7,Алтайский край
Красноярский край,2020,24.8,Красноярский край
Иркутская область,2020,28.6,Иркутская область
Кемеровская область,2020,23.0,Кемеровская область
Новосибирская область,2020,25.4,Новосибирская область
Омская область,2020,29.0,Омская область
Томская область,2020,23.5,Томская область
Республика Бурятия,2020,25.5,Республика Бурятия
Республика Саха (Якутия),2020,16.8,Республика Саха (Якутия)
Забайкальский край,2020,26.5,Забайкальский край
Камчатский край,2020,13.3,Камчатский край
Приморский край,2020,23.5,Приморский край
Хабаровский край,2020,25.7,Хабаровский край
Амурская область,2020,21.7,Амурская область
Магаданская область,2020,11.1,Магаданская область
Сахалинская область,2020,16.5,Сахалинская область
Еврейская автономная область,2020,31.2,Еврейская автономная область
Чукотский автономный округ,2020,6.4,Чукотский автономный округ
